FID,OBJECTID,Layer,Phase,Plot_Numbe,Plot_Type,Area_Acre,Area_Sqm,Adjacent_P,Adjacent_R,Availabili,Relationsh,Test,Shape_Leng,Shape_Area,Plot_Name,Plot_No_V1
1,1,00-Road-25-03-2022,Phase 1,RD 4,40 MT-ROW,0,82979.17, , ,NA, , ,4231.92560175,82994.7413414,Road, ,,
2,2,00-PLOT BOUNDARY-25-03-2022,Phase 1,19,Plot,16.51,66809.71,18,"RD-10, UC-2, UC-3",Yes, ,16.51,1175.04622079,66809.7138441,Yes,19,,
3,3,00-PLOT BOUNDARY-25-03-2022,Phase 1,17,Plot,4.65,18812.23,"16, 18",RD-10,Yes, ,4.65,555.636228403,18812.2282936,Yes,17,,
4,4,00-PLOT BOUNDARY-25-03-2022,Phase 1,18,Plot,6.27,25371.12,"17, 19",RD-10,Yes, ,6.27,662.159375522,25371.1202724,Yes,18,,
5,5,0,Phase 1,7,Plot,18.7,75668.15,"1, 2, 3, 6, 8",RD-2,Yes, ,18.7,1195.77506966,75668.1538196,Yes,7,,
6,6,0,Phase 1,8,Plot,21.77,88119.01,"1, 2, 7",RD-2,Yes, ,21.77,1303.08595112,88119.0069504,Yes,8,,
7,7,0,Phase 1,1,Plot,16.96,68650.03,"2, 7, 8","RD-1, 120 MT-ROW",Yes, ,16.96,1144.00789364,68650.0281422,Yes,1,,
8,8,0,Phase 1,2,Plot,18.49,74820.65,"1, 3, 6, 7, 8",RD-1,Yes, ,18.49,1188.58228181,74820.6539262,Yes,2,,
9,9,00-PLOT BOUNDARY-25-03-2022,Phase 1,3,Plot,22.37,90533.84,"2, 4, 5, 6, 7",RD-1,Yes, ,22.37,1272.72357918,90533.8415319,Yes,3,,
10,10,00-PLOT BOUNDARY-25-03-2022,Phase 1,6,Plot,22.1,89430.11,"2, 3, 4, 5, 7",RD-2,Yes, ,22.1,1262.64669034,89430.1138147,Yes,6,,
11,11, ,Phase 1, ,Torrent High Tension Line,0,6854.76, , ,NA, , ,492.031343825,6854.7553351,Torrent High Tension Line, ,,
12,12, ,Phase 1,UC 9,8 MT-UC,0,3338.4, , ,NA, , ,865.840381525,3338.40340666,Road, ,,
13,13, ,Phase 1, ,Torrent High Tension Line,0,3785.67, , ,NA, , ,490.611589402,3785.66859589,Torrent High Tension Line, ,,
14,14,00-PLOT BOUNDARY-25-03-2022,Phase 1,4,Plot,21.21,85820.65,"3, 5, 6","RD-1, RD-4",Yes, ,21.21,1267.56896383,85820.6514004,Yes,4,,
15,15,00-PLOT BOUNDARY-25-03-2022,Phase 1,5,Plot,22.8,92263.18,"4, 6","RD-2, RD-4",Yes, ,22.8,1278.24583433,92263.1811016,Yes,5,,
16,16,0-Payal IP-Boundary 9 Mt Margin Line,Phase 1,GS,Green Space,0,11359.56, , ,NA, , ,1545.54119145,11359.5560673,Green Space, ,,
17,17,00-PLOT BOUNDARY-25-03-2022,Phase 1,11,Plot,10.8,43716.66,"9, 10, 12",RD-7,Yes, ,10.8,885.562017224,43716.6648808,Yes,11,,
